Date	Month	Round	Candidates	Parties	Votes	%
23/04/2017	avr-17	First_tour_tour	Emmanuel Macron	En marche !	8656346	24,01%
07/05/2017	mai-17	Second_tour	Emmanuel Macron	En marche !	20743128	66,10%
23/04/2017	avr-17	First_tour_tour	Marine Le Pen	Front national	7678491	21,30%
07/05/2017	mai-17	Second_tour	Marine Le Pen	Front national	10638475	33,90%
23/04/2017	avr-17	First_tour	Francois Fillon	Les Républicains	7212995	20,01%
23/04/2017	avr-17	First_tour	Jean-Luc Melenchon	La France insoumise	7059951	19,58%
23/04/2017	avr-17	First_tour	Benoit Hamon	Parti socialiste	2291288	6,36%
23/04/2017	avr-17	First_tour	Nicolas Dupont-Aignan	Debout la France	1695000	4,70%
23/04/2017	avr-17	First_tour	Jean Lassalle	Résistons !	435301	1,21%
23/04/2017	avr-17	First_tour	Philippe Poutou	Nouveau Parti anticapitaliste	394505	1,09%
23/04/2017	avr-17	First_tour	Francois Asselineau	Union populaire républicaine	332547	0,92%
23/04/2017	avr-17	First_tour	Nathalie Arthaud	Lutte ouvrière	232384	0,64%
23/04/2017	avr-17	First_tour	Jacques Cheminade	Solidarité et progrès	65586	0,18%
